骰子組合,基礎點數總和,發動牌型,發動牌型總和倍率,最終傷害
11111111,8,比比丟八(ビビデバ)(x100) + 雙子星(x50) + 兩極(x60),300000,2400000
11111112,9,七同(x60) + 白馬(x14),840,7560
11111113,10,七同(x60) + 白馬(x14) + 絕對秩序(x12),10080,100800
11111114,11,七同(x60) + 白馬(x14),840,9240
11111115,12,七同(x60) + 白馬(x14) + 絕對秩序(x12),10080,120960
11111116,13,七同(x60) + 白馬(x14),840,10920
11111117,14,七同(x60) + 白馬(x14) + 絕對秩序(x12),10080,141120
11111118,15,七同(x60) + 白馬(x14) + 兩極(x60),50400,756000
11111122,10,六同(x25) + 豪華四對子(x20),500,5000
11111123,11,六同(x25) + 三連順(x2) + 雙三同(x11),550,6050
11111124,12,六同(x25) + 雙三同(x11),275,3300
11111125,13,六同(x25) + 雙三同(x11),275,3575
11111126,14,六同(x25) + 雙三同(x11),275,3850
11111127,15,六同(x25) + 雙三同(x11),275,4125
11111128,16,六同(x25) + 雙三同(x11),275,4400
11111133,12,六同(x25) + 豪華四對子(x20) + 絕對秩序(x12),6000,72000
11111134,13,六同(x25) + 雙三同(x11),275,3575
11111135,14,六同(x25) + 雙三同(x11) + 絕對秩序(x12),3300,46200
11111136,15,六同(x25) + 雙三同(x11),275,4125
11111137,16,六同(x25) + 雙三同(x11) + 絕對秩序(x12),3300,52800
11111138,17,六同(x25) + 雙三同(x11),275,4675
11111144,14,六同(x25) + 豪華四對子(x20),500,7000
11111145,15,六同(x25) + 雙三同(x11),275,4125
11111146,16,六同(x25) + 雙三同(x11),275,4400
11111147,17,六同(x25) + 雙三同(x11),275,4675
11111148,18,六同(x25) + 雙三同(x11),275,4950
11111155,16,六同(x25) + 豪華四對子(x20) + 絕對秩序(x12),6000,96000
11111156,17,六同(x25) + 雙三同(x11),275,4675
11111157,18,六同(x25) + 雙三同(x11) + 絕對秩序(x12),3300,59400
11111158,19,六同(x25) + 雙三同(x11),275,5225
11111166,18,六同(x25) + 豪華四對子(x20),500,9000
11111167,19,六同(x25) + 雙三同(x11),275,5225
11111168,20,六同(x25) + 雙三同(x11),275,5500
11111177,20,六同(x25) + 豪華四對子(x20) + 絕對秩序(x12),6000,120000
11111178,21,六同(x25) + 雙三同(x11),275,5775
11111188,22,六同(x25) + 豪華四對子(x20) + 兩極(x60),30000,660000
11111222,11,五同(x12) + 南瓜馬車(x40),480,5280
11111223,12,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,864
11111224,13,五同(x12) + 三對子(x3),36,468
11111225,14,五同(x12) + 三對子(x3),36,504
11111226,15,五同(x12) + 三對子(x3),36,540
11111227,16,五同(x12) + 三對子(x3),36,576
11111228,17,五同(x12) + 三對子(x3),36,612
11111233,13,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,936
11111234,14,五同(x12) + 四連順(x3) + 順碰交響曲(x3),108,1512
11111235,15,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,1080
11111236,16,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,1152
11111237,17,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,1224
11111238,18,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,1296
11111244,15,五同(x12) + 三對子(x3),36,540
11111245,16,五同(x12) + 南瓜(x2),24,384
11111246,17,五同(x12) + 南瓜(x2),24,408
11111247,18,五同(x12) + 南瓜(x2),24,432
11111248,19,五同(x12) + 南瓜(x2) + 二進位(x3),72,1368
11111255,17,五同(x12) + 三對子(x3),36,612
11111256,18,五同(x12) + 南瓜(x2),24,432
11111257,19,五同(x12) + 南瓜(x2),24,456
11111258,20,五同(x12) + 南瓜(x2),24,480
11111266,19,五同(x12) + 三對子(x3),36,684
11111267,20,五同(x12) + 南瓜(x2),24,480
11111268,21,五同(x12) + 南瓜(x2),24,504
11111277,21,五同(x12) + 三對子(x3),36,756
11111278,22,五同(x12) + 南瓜(x2),24,528
11111288,23,五同(x12) + 三對子(x3),36,828
11111333,14,五同(x12) + 南瓜馬車(x40) + 絕對秩序(x12),5760,80640
11111334,15,五同(x12) + 三對子(x3),36,540
11111335,16,五同(x12) + 三對子(x3) + 絕對秩序(x12),432,6912
11111336,17,五同(x12) + 三對子(x3),36,612
11111337,18,五同(x12) + 三對子(x3) + 絕對秩序(x12),432,7776
11111338,19,五同(x12) + 三對子(x3),36,684
11111344,16,五同(x12) + 三對子(x3),36,576
11111345,17,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,1224
11111346,18,五同(x12) + 南瓜(x2) + 圓周率(x7),168,3024
11111347,19,五同(x12) + 南瓜(x2),24,456
11111348,20,五同(x12) + 南瓜(x2),24,480
11111355,18,五同(x12) + 三對子(x3) + 絕對秩序(x12),432,7776
11111356,19,五同(x12) + 南瓜(x2),24,456
11111357,20,五同(x12) + 南瓜(x2) + 絕對秩序(x12),288,5760
11111358,21,五同(x12) + 南瓜(x2),24,504
11111366,20,五同(x12) + 三對子(x3),36,720
11111367,21,五同(x12) + 南瓜(x2),24,504
11111368,22,五同(x12) + 南瓜(x2),24,528
11111377,22,五同(x12) + 三對子(x3) + 絕對秩序(x12),432,9504
11111378,23,五同(x12) + 南瓜(x2),24,552
11111388,24,五同(x12) + 三對子(x3),36,864
11111444,17,五同(x12) + 南瓜馬車(x40),480,8160
11111445,18,五同(x12) + 三對子(x3),36,648
11111446,19,五同(x12) + 三對子(x3),36,684
11111447,20,五同(x12) + 三對子(x3),36,720
11111448,21,五同(x12) + 三對子(x3),36,756
11111455,19,五同(x12) + 三對子(x3),36,684
11111456,20,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,1440
11111457,21,五同(x12) + 南瓜(x2),24,504
11111458,22,五同(x12) + 南瓜(x2),24,528
11111466,21,五同(x12) + 三對子(x3),36,756
11111467,22,五同(x12) + 南瓜(x2),24,528
11111468,23,五同(x12) + 南瓜(x2),24,552
11111477,23,五同(x12) + 三對子(x3),36,828
11111478,24,五同(x12) + 南瓜(x2),24,576
11111488,25,五同(x12) + 三對子(x3),36,900
11111555,20,五同(x12) + 南瓜馬車(x40) + 絕對秩序(x12),5760,115200
11111556,21,五同(x12) + 三對子(x3),36,756
11111557,22,五同(x12) + 三對子(x3) + 絕對秩序(x12),432,9504
11111558,23,五同(x12) + 三對子(x3),36,828
11111566,22,五同(x12) + 三對子(x3),36,792
11111567,23,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,1656
11111568,24,五同(x12) + 南瓜(x2),24,576
11111577,24,五同(x12) + 三對子(x3) + 絕對秩序(x12),432,10368
11111578,25,五同(x12) + 南瓜(x2),24,600
11111588,26,五同(x12) + 三對子(x3),36,936
11111666,23,五同(x12) + 南瓜馬車(x40),480,11040
11111667,24,五同(x12) + 三對子(x3),36,864
11111668,25,五同(x12) + 三對子(x3),36,900
11111677,25,五同(x12) + 三對子(x3),36,900
11111678,26,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,1872
11111688,27,五同(x12) + 三對子(x3),36,972
11111777,26,五同(x12) + 南瓜馬車(x40) + 絕對秩序(x12),5760,149760
11111778,27,五同(x12) + 三對子(x3),36,972
11111788,28,五同(x12) + 三對子(x3),36,1008
11111888,29,五同(x12) + 南瓜馬車(x40) + 兩極(x60),28800,835200
11112222,12,四同(x5) + 雙子星(x50),250,3000
11112223,13,四同(x5) + 三連順(x2) + 白馬(x14),140,1820
11112224,14,四同(x5) + 白馬(x14),70,980
11112225,15,四同(x5) + 白馬(x14),70,1050
11112226,16,四同(x5) + 白馬(x14),70,1120
11112227,17,四同(x5) + 白馬(x14),70,1190
11112228,18,四同(x5) + 白馬(x14),70,1260
11112233,14,四同(x5) + 三連順(x2) + 豪華四對子(x20),200,2800
11112234,15,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,675
11112235,16,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,480
11112236,17,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,510
11112237,18,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,540
11112238,19,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,570
11112244,16,四同(x5) + 豪華四對子(x20),100,1600
11112245,17,四同(x5) + 三對子(x3),15,255
11112246,18,四同(x5) + 三對子(x3),15,270
11112247,19,四同(x5) + 三對子(x3),15,285
11112248,20,四同(x5) + 三對子(x3) + 二進位(x3),45,900
11112255,18,四同(x5) + 豪華四對子(x20),100,1800
11112256,19,四同(x5) + 三對子(x3),15,285
11112257,20,四同(x5) + 三對子(x3),15,300
