 INFO  Accepting connections at http://localhost:3000
 HTTP  4/29/2026 7:05:58 AM ::1 GET /
 HTTP  4/29/2026 7:05:58 AM ::1 Returned 200 in 39 ms
 HTTP  4/29/2026 7:05:59 AM ::1 GET /css/style.css
 HTTP  4/29/2026 7:05:59 AM ::1 GET /js/main.js
 HTTP  4/29/2026 7:05:59 AM ::1 Returned 200 in 10 ms
 HTTP  4/29/2026 7:05:59 AM ::1 Returned 200 in 11 ms
 HTTP  4/29/2026 7:06:00 AM ::1 GET /js/data.js
 HTTP  4/29/2026 7:06:00 AM ::1 GET /js/engine.js
 HTTP  4/29/2026 7:06:00 AM ::1 GET /js/ui.js
 HTTP  4/29/2026 7:06:00 AM ::1 GET /js/audio.js
 HTTP  4/29/2026 7:06:00 AM ::1 GET /js/i18n.js
 HTTP  4/29/2026 7:06:00 AM ::1 Returned 200 in 26 ms
 HTTP  4/29/2026 7:06:00 AM ::1 Returned 200 in 29 ms
 HTTP  4/29/2026 7:06:00 AM ::1 Returned 200 in 33 ms
 HTTP  4/29/2026 7:06:00 AM ::1 Returned 200 in 32 ms
 HTTP  4/29/2026 7:06:00 AM ::1 Returned 200 in 31 ms
 HTTP  4/29/2026 7:06:00 AM ::1 GET /js/locales/zh-tw.js
 HTTP  4/29/2026 7:06:00 AM ::1 GET /js/locales/zh-cn.js
 HTTP  4/29/2026 7:06:00 AM ::1 GET /js/locales/en.js
 HTTP  4/29/2026 7:06:00 AM ::1 GET /js/locales/ja.js
 HTTP  4/29/2026 7:06:00 AM ::1 Returned 200 in 19 ms
 HTTP  4/29/2026 7:06:00 AM ::1 Returned 200 in 18 ms
 HTTP  4/29/2026 7:06:00 AM ::1 Returned 200 in 18 ms
 HTTP  4/29/2026 7:06:00 AM ::1 Returned 200 in 18 ms
 HTTP  4/29/2026 7:06:01 AM ::1 GET /
 HTTP  4/29/2026 7:06:01 AM ::1 Returned 304 in 2 ms
 HTTP  4/29/2026 7:06:01 AM ::1 GET /css/style.css
 HTTP  4/29/2026 7:06:01 AM ::1 GET /js/main.js
 HTTP  4/29/2026 7:06:01 AM ::1 Returned 304 in 1 ms
 HTTP  4/29/2026 7:06:01 AM ::1 Returned 304 in 1 ms
 HTTP  4/29/2026 7:06:02 AM ::1 GET /js/data.js
 HTTP  4/29/2026 7:06:02 AM ::1 Returned 304 in 2 ms
 HTTP  4/29/2026 7:06:02 AM ::1 GET /js/engine.js
 HTTP  4/29/2026 7:06:02 AM ::1 GET /js/ui.js
 HTTP  4/29/2026 7:06:02 AM ::1 GET /js/audio.js
 HTTP  4/29/2026 7:06:02 AM ::1 GET /js/i18n.js
 HTTP  4/29/2026 7:06:02 AM ::1 Returned 304 in 4 ms
 HTTP  4/29/2026 7:06:02 AM ::1 Returned 304 in 4 ms
 HTTP  4/29/2026 7:06:02 AM ::1 Returned 304 in 3 ms
 HTTP  4/29/2026 7:06:02 AM ::1 Returned 304 in 4 ms
 HTTP  4/29/2026 7:06:02 AM ::1 GET /js/locales/zh-tw.js
 HTTP  4/29/2026 7:06:02 AM ::1 GET /js/locales/zh-cn.js
 HTTP  4/29/2026 7:06:02 AM ::1 GET /js/locales/en.js
 HTTP  4/29/2026 7:06:02 AM ::1 GET /js/locales/ja.js
 HTTP  4/29/2026 7:06:02 AM ::1 Returned 304 in 3 ms
 HTTP  4/29/2026 7:06:02 AM ::1 Returned 304 in 3 ms
 HTTP  4/29/2026 7:06:02 AM ::1 Returned 304 in 3 ms
 HTTP  4/29/2026 7:06:02 AM ::1 Returned 304 in 4 ms
 HTTP  4/29/2026 7:06:06 AM ::1 GET /
 HTTP  4/29/2026 7:06:06 AM ::1 Returned 200 in 1 ms
 HTTP  4/29/2026 7:06:06 AM ::1 GET /css/style.css
 HTTP  4/29/2026 7:06:06 AM ::1 Returned 200 in 2 ms
 HTTP  4/29/2026 7:06:06 AM ::1 GET /js/main.js
 HTTP  4/29/2026 7:06:06 AM ::1 Returned 200 in 1 ms
 HTTP  4/29/2026 7:06:06 AM ::1 GET /js/data.js
 HTTP  4/29/2026 7:06:06 AM ::1 GET /js/engine.js
 HTTP  4/29/2026 7:06:06 AM ::1 GET /js/ui.js
 HTTP  4/29/2026 7:06:06 AM ::1 GET /js/audio.js
 HTTP  4/29/2026 7:06:06 AM ::1 Returned 200 in 2 ms
 HTTP  4/29/2026 7:06:06 AM ::1 Returned 200 in 1 ms
 HTTP  4/29/2026 7:06:06 AM ::1 Returned 200 in 1 ms
 HTTP  4/29/2026 7:06:06 AM ::1 GET /js/i18n.js
 HTTP  4/29/2026 7:06:06 AM ::1 Returned 200 in 2 ms
 HTTP  4/29/2026 7:06:06 AM ::1 Returned 200 in 1 ms
 HTTP  4/29/2026 7:06:07 AM ::1 GET /js/locales/zh-tw.js
 HTTP  4/29/2026 7:06:07 AM ::1 GET /js/locales/zh-cn.js
 HTTP  4/29/2026 7:06:07 AM ::1 GET /js/locales/en.js
 HTTP  4/29/2026 7:06:07 AM ::1 Returned 200 in 8 ms
 HTTP  4/29/2026 7:06:07 AM ::1 Returned 200 in 8 ms
 HTTP  4/29/2026 7:06:07 AM ::1 Returned 200 in 6 ms
 HTTP  4/29/2026 7:06:07 AM ::1 GET /js/locales/ja.js
 HTTP  4/29/2026 7:06:07 AM ::1 Returned 200 in 8 ms
 HTTP  4/29/2026 7:06:07 AM ::1 GET /
 HTTP  4/29/2026 7:06:07 AM ::1 Returned 304 in 2 ms
 HTTP  4/29/2026 7:06:08 AM ::1 GET /css/style.css
 HTTP  4/29/2026 7:06:08 AM ::1 GET /js/main.js
 HTTP  4/29/2026 7:06:08 AM ::1 Returned 304 in 1 ms
 HTTP  4/29/2026 7:06:08 AM ::1 Returned 304 in 1 ms
 HTTP  4/29/2026 7:06:08 AM ::1 GET /js/data.js
 HTTP  4/29/2026 7:06:08 AM ::1 GET /js/engine.js
 HTTP  4/29/2026 7:06:08 AM ::1 GET /js/ui.js
 HTTP  4/29/2026 7:06:08 AM ::1 GET /js/audio.js
 HTTP  4/29/2026 7:06:08 AM ::1 GET /js/i18n.js
 HTTP  4/29/2026 7:06:08 AM ::1 Returned 304 in 2 ms
 HTTP  4/29/2026 7:06:08 AM ::1 Returned 304 in 2 ms
 HTTP  4/29/2026 7:06:08 AM ::1 Returned 304 in 2 ms
 HTTP  4/29/2026 7:06:08 AM ::1 Returned 304 in 1 ms
 HTTP  4/29/2026 7:06:08 AM ::1 Returned 304 in 1 ms
 HTTP  4/29/2026 7:06:08 AM ::1 GET /js/locales/zh-tw.js
 HTTP  4/29/2026 7:06:08 AM ::1 GET /js/locales/zh-cn.js
 HTTP  4/29/2026 7:06:08 AM ::1 GET /js/locales/en.js
 HTTP  4/29/2026 7:06:08 AM ::1 GET /js/locales/ja.js
 HTTP  4/29/2026 7:06:08 AM ::1 Returned 304 in 2 ms
 HTTP  4/29/2026 7:06:08 AM ::1 Returned 304 in 2 ms
 HTTP  4/29/2026 7:06:08 AM ::1 Returned 304 in 1 ms
 HTTP  4/29/2026 7:06:08 AM ::1 Returned 304 in 1 ms
 HTTP  4/29/2026 7:06:12 AM ::1 GET /
 HTTP  4/29/2026 7:06:12 AM ::1 Returned 200 in 1 ms
 HTTP  4/29/2026 7:06:12 AM ::1 GET /css/style.css
 HTTP  4/29/2026 7:06:12 AM ::1 Returned 200 in 1 ms
 HTTP  4/29/2026 7:06:12 AM ::1 GET /js/main.js
 HTTP  4/29/2026 7:06:12 AM ::1 Returned 200 in 2 ms
 HTTP  4/29/2026 7:06:12 AM ::1 GET /js/data.js
 HTTP  4/29/2026 7:06:12 AM ::1 GET /js/engine.js
 HTTP  4/29/2026 7:06:12 AM ::1 GET /js/ui.js
 HTTP  4/29/2026 7:06:12 AM ::1 GET /js/audio.js
 HTTP  4/29/2026 7:06:12 AM ::1 GET /js/i18n.js
 HTTP  4/29/2026 7:06:12 AM ::1 Returned 200 in 2 ms
 HTTP  4/29/2026 7:06:12 AM ::1 Returned 200 in 2 ms
 HTTP  4/29/2026 7:06:12 AM ::1 Returned 200 in 2 ms
 HTTP  4/29/2026 7:06:12 AM ::1 Returned 200 in 2 ms
 HTTP  4/29/2026 7:06:12 AM ::1 Returned 200 in 2 ms
 HTTP  4/29/2026 7:06:13 AM ::1 GET /js/locales/zh-tw.js
 HTTP  4/29/2026 7:06:13 AM ::1 Returned 200 in 4 ms
 HTTP  4/29/2026 7:06:13 AM ::1 GET /js/locales/zh-cn.js
 HTTP  4/29/2026 7:06:13 AM ::1 GET /js/locales/en.js
 HTTP  4/29/2026 7:06:13 AM ::1 GET /js/locales/ja.js
 HTTP  4/29/2026 7:06:13 AM ::1 Returned 200 in 1 ms
 HTTP  4/29/2026 7:06:13 AM ::1 Returned 200 in 2 ms
 HTTP  4/29/2026 7:06:13 AM ::1 Returned 200 in 3 ms
 HTTP  4/29/2026 7:06:13 AM ::1 GET /
 HTTP  4/29/2026 7:06:13 AM ::1 Returned 304 in 1 ms
 HTTP  4/29/2026 7:06:13 AM ::1 GET /css/style.css
 HTTP  4/29/2026 7:06:13 AM ::1 GET /js/main.js
 HTTP  4/29/2026 7:06:13 AM ::1 Returned 304 in 1 ms
 HTTP  4/29/2026 7:06:13 AM ::1 Returned 304 in 1 ms
 HTTP  4/29/2026 7:06:14 AM ::1 GET /js/data.js
 HTTP  4/29/2026 7:06:14 AM ::1 GET /js/engine.js
 HTTP  4/29/2026 7:06:14 AM ::1 GET /js/ui.js
